pickup_longitude pickup_latitude dropoff_longitude dropoff_latitude passenger_count
-73.98245 40.73159 -73.98375 40.74703 1
-73.98151 40.76683 -73.99323 40.75769 2
-73.98116 40.74441 -73.98522 40.74138 1
-74.01228 40.70152 -73.96913 40.75754 1
-73.91064 40.76952 -73.90533 40.75269 1
-73.98649 40.73024 -73.99377 40.72736 1
-73.99096 40.75115 -74.00284 40.75619 1
-74.00064 40.74767 -74.00228 40.73452 1
-73.98028 40.7483 -73.9757 40.75489 1
-73.97791 40.746 -73.9912 40.75034 2
-74.00869 40.71911 -74.00627 40.73369 1
-74.00452 40.7488 -73.981 40.72258 1
-73.99686 40.74742 -73.98658 40.74551 1
-73.99802 40.745 -73.99944 40.73862 1
-73.9577 40.77371 -73.9657 40.7654 1
-73.99171 40.74989 -73.96324 40.77453 1
-73.98057 40.74532 -73.99133 40.74085 1
-73.98902 40.73074 -73.99837 40.72244 2
-73.98853 40.74747 -73.96999 40.75583 1
-73.97918 40.7363 -73.98943 40.73032 2
-73.97786 40.77408 -73.98009 40.76483 2
-73.97699 40.77995 -73.97994 40.76209 1
-74.0023 40.72962 -74.00572 40.74569 1
-73.97854 40.74513 -73.97057 40.75647 1
-73.96827 40.76215 -73.97737 40.76266 2
-73.97287 40.74945 -73.98209 40.7463 2
-73.9992 40.73387 -73.99347 40.74216 1
-73.9713 40.75823 -73.98045 40.74564 1
-74.00253 40.72808 -73.97838 40.71236 1
-73.94283 40.80658 -73.95242 40.79253 1
-74.00842 40.72074 -73.99692 40.72258 1
-73.99096 40.73973 -73.99972 40.73286 3
-73.99562 40.75948 -73.97014 40.74867 1
-73.97088 40.7893 -73.94277 40.78589 1
-73.98787 40.71858 -73.98174 40.73282 1
-73.98919 40.7585 -74.0008 40.75775 1
-74.00751 40.72568 -73.97261 40.74654 1
-74.00316 40.74907 -73.95032 40.80231 1
-73.95389 40.76639 -73.96933 40.7643 1
-73.94977 40.7963 -73.96106 40.77665 1
-73.95596 40.76789 -73.95589 40.77604 1
-73.96838 40.76427 -73.98965 40.7574 1
-73.97285 40.79502 -73.95291 40.78305 3
-73.98748 40.73898 -74.00035 40.74615 1
-73.95084 40.78335 -73.95145 40.77195 1
-73.97818 40.74176 -73.93523 40.80091 2
-73.99953 40.73353 -73.99402 40.73298 1
-73.99488 40.76065 -73.98373 40.76292 1
-73.9876 40.72429 -73.97007 40.74874 2
-73.96581 40.76456 -73.97172 40.76059 1
-73.95063 40.76982 -73.95335 40.77877 1
-74.00451 40.74861 -73.98821 40.74948 1
-73.96301 40.79908 -73.98691 40.77663 1
-73.99142 40.75019 -73.98124 40.75893 1
-74.00416 40.72087 -73.99012 40.7466 1
-73.99587 40.7218 -73.99157 40.72699 1
-73.96006 40.78056 -73.97091 40.78603 2
-74.00657 40.71637 -74.00806 40.72258 1
-73.96965 40.78561 -73.96268 40.77927 2
-73.98244 40.76254 -73.97835 40.76319 1
-73.9594 40.78012 -73.97862 40.75066 1
-73.97782 40.76495 -73.97459 40.7589 1
-73.9822 40.76767 -73.96983 40.763 1
-73.97485 40.75574 -73.97279 40.75909 1
-73.99516 40.74487 -73.99127 40.73951 2
-73.97363 40.75496 -73.9787 40.75253 1
-73.97169 40.79726 -73.96811 40.76238 1
-73.95514 40.76905 -73.9549 40.78239 1
-73.97774 40.75278 -73.95681 40.76273 1
-73.99055 40.75753 -73.99917 40.76337 1
-73.95436 40.78393 -73.95655 40.78099 1
-73.94643 40.77316 -73.98106 40.7678 1
-73.97298 40.7444 -73.98314 40.75493 1
-73.99081 40.75095 -73.98492 40.7413 1
-73.98518 40.7358 -73.99209 40.74252 1
-73.98052 40.73847 -73.99551 40.72529 1
-73.98197 40.75803 -73.97862 40.76285 1
-73.98238 40.74578 -73.97507 40.74155 1
-73.96948 40.78542 -73.98107 40.78735 1
-73.9758 40.75451 -73.97294 40.7579 1
-73.97501 40.7533 -73.99041 40.75666 1
-73.96899 40.76685 -73.96376 40.7742 1
-73.95435 40.78158 -73.95782 40.80047 1
-74.01279 40.70173 -74.00188 40.70771 1
-73.993 40.76815 -74.01025 40.71998 1
-73.97881 40.74081 -74.0151 40.71125 1
-73.98567 40.73837 -74.00224 40.7265 1
-73.97496 40.75563 -73.97178 40.76081 1
-73.97454 40.75604 -73.96976 40.76274 1
-73.98164 40.74398 -73.97868 40.75844 2
-73.97915 40.7621 -73.9752 40.74962 1
-73.98291 40.76322 -73.98689 40.75522 1
-73.97425 40.74771 -74.01003 40.72099 1
-73.99156 40.72993 -73.97343 40.76301 1
-73.98019 40.76557 -73.992 40.75394 1
-74.00385 40.726 -74.00732 40.72757 1
-73.98431 40.7251 -73.98175 40.73275 1
-73.98026 40.78373 -73.93546 40.80425 1
-73.92314 40.75566 -73.91183 40.75967 1
-73.99067 40.75076 -73.98687 40.74437 1
-74.00679 40.71619 -74.00595 40.72268 1
-73.99675 40.75357 -73.99403 40.74593 1
-73.95389 40.77513 -73.95638 40.77153 1
-74.00735 40.70733 -74.0098 40.72081 1
-73.98274 40.74889 -73.97448 40.76291 1
-73.97462 40.75622 -73.96881 40.76413 1
-73.95641 40.78125 -73.95239 40.78962 1
-74.00522 40.7274 -73.99466 40.75042 1
-73.9689 40.79083 -73.98244 40.77537 1
-73.9557 40.76831 -73.97424 40.76273 1
-73.94789 40.78378 -73.96446 40.79217 1
-73.96145 40.76894 -73.975 40.75624 1
-74.00652 40.71442 -74.00815 40.73783 1
-73.98057 40.76759 -73.99168 40.75004 1
-73.94301 40.78994 -73.97733 40.73645 3
-74.00547 40.7151 -74.00824 40.73554 1
-73.90065 40.76899 -73.9119 40.77534 2
-73.96926 40.76092 -73.98189 40.7687 1
-73.9469 40.78514 -73.95901 40.77484 2
-73.9826 40.75137 -73.98727 40.74468 1
-73.99416 40.75111 -73.99601 40.76873 1
-73.99888 40.73986 -73.98812 40.7347 1
-74.00232 40.74528 -73.99358 40.73426 1
-73.99836 40.75066 -74.00307 40.71502 1
-73.98505 40.764 -73.98386 40.74389 1
-73.9784 40.78807 -73.95558 40.778 1
-73.96473 40.79167 -73.98094 40.7642 1
-73.97677 40.75616 -73.96373 40.77406 1
-73.98337 40.73877 -73.99357 40.72911 1
-73.94749 40.7756 -73.9557 40.76446 1
-73.99674 40.72082 -73.99898 40.73748 3
-73.99229 40.755 -73.87363 40.77149 1
-73.98534 40.74782 -73.98966 40.7412 2
-73.99963 40.74351 -73.98868 40.76899 1
-73.99541 40.74017 -73.98294 40.7509 1
-73.94788 40.77457 -73.97227 40.75011 1
-73.99232 40.73786 -73.9924 40.73064 1
-73.95571 40.77262 -73.97183 40.75052 1
-73.9624 40.75899 -73.94424 40.74885 1
-73.94191 40.75445 -73.93935 40.76518 1
-73.96512 40.7635 -73.97234 40.75903 1
-73.99126 40.76545 -73.99265 40.75502 1
-73.99004 40.74731 -73.97664 40.73954 1
-73.99754 40.75642 -74.00755 40.74359 1
-73.95544 40.77687 -73.9389 40.80484 2
-74.01299 40.71638 -74.00152 40.71594 1
-73.97185 40.74596 -73.96606 40.75226 1
-73.98885 40.76355 -73.98589 40.73517 1
-73.95493 40.77345 -73.97259 40.74938 1
-73.97243 40.74643 -73.96729 40.76015 1
-73.98492 40.73641 -73.97913 40.75036 1
-73.97317 40.75033 -73.98592 40.75805 1
-73.98506 40.7239 -73.98222 40.73991 1
-73.97179 40.74641 -73.9667 40.76166 1
-73.97169 40.74645 -73.97739 40.76102 2
-73.96087 40.77083 -73.96031 40.76721 1
-73.98724 40.76519 -74.00047 40.74608 1
-73.95667 40.77826 -73.96776 40.76776 1
-73.95713 40.77458 -73.95088 40.78312 1
-73.98058 40.74186 -73.97804 40.76651 1
-73.97846 40.7832 -73.96164 40.77118 1
-73.97801 40.75254 -73.98783 40.73788 1
-73.97031 40.75238 -73.99836 40.72374 2
-73.96335 40.76566 -74.01476 40.71061 1
-73.98172 40.75233 -74.00351 40.74918 1
-73.98997 40.75736 -73.97999 40.75305 1
-73.99546 40.72508 -73.98857 40.725 1
-73.98149 40.78048 -73.97364 40.79191 1
-73.9612 40.7608 -73.96531 40.76185 1
-73.99079 40.74982 -73.98664 40.73947 1
-73.9794 40.73567 -73.98513 40.74503 1
-73.98433 40.76974 -73.97688 40.75538 1
-74.00578 40.74839 -74.00716 40.72937 1
-73.97505 40.75222 -73.98494 40.74137 1
-73.9941 40.74573 -74.00582 40.75021 1
-73.94874 40.77405 -73.95574 40.77976 1
-74.00636 40.73334 -73.99065 40.75606 1
-73.95588 40.76796 -73.95219 40.76968 1
-73.99461 40.75051 -74.0003 40.75829 1
-73.98944 40.74737 -73.97463 40.74236 1
-73.97764 40.76463 -73.95493 40.77786 1
-74.00062 40.73738 -74.00124 40.73186 2
-73.97736 40.75321 -73.98219 40.75684 1
-73.97866 40.74788 -73.87056 40.77382 1
-73.97668 40.76487 -73.97633 40.74843 2
-73.97549 40.75123 -74.00546 40.72773 2
-74.01513 40.70881 -74.00201 40.74678 1
-73.96985 40.75805 -73.9651 40.7693 1
-73.99078 40.74742 -73.97803 40.7631 2
-73.99458 40.74585 -73.99036 40.73725 1
-73.96126 40.7689 -73.95542 40.77692 1
-73.979 40.72393 -73.97147 40.75193 1
-73.98383 40.76484 -73.97512 40.7653 1
-73.92084 40.74364 -73.94318 40.74678 1
-73.9996 40.72708 -73.99633 40.74576 2
-74.00121 40.73168 -73.98363 40.76057 1
-73.98294 40.74194 -73.98568 40.75315 1
-73.96313 40.76933 -73.95875 40.77833 1
-73.91022 40.74565 -73.96962 40.75352 1
-74.0015 40.74124 -74.00154 40.75658 1
-73.96747 40.75237 -73.98526 40.73192 2
-73.98788 40.73798 -74.00955 40.72014 1
-73.99127 40.73203 -73.99564 40.72524 1
-73.9743 40.76479 -73.9752 40.75484 1
-73.96047 40.78148 -73.97752 40.77768 1
-73.9992 40.72242 -74.00717 40.71186 1
-73.97357 40.74366 -73.97557 40.75144 1
-73.99486 40.74008 -73.99295 40.73391 1
-74.01119 40.72069 -73.99528 40.74987 1
-73.98573 40.75882 -73.86172 40.76841 1
-73.95877 40.77508 -73.94843 40.78656 1
-73.96371 40.76531 -73.96316 40.77512 2
-73.97246 40.75631 -73.97759 40.7563 1
-73.96517 40.75538 -73.96206 40.75965 1
-73.98306 40.76339 -73.99143 40.75023 1
-74.00002 40.73783 -74.008 40.73035 1
-73.97538 40.75231 -73.98754 40.74883 1
-73.99173 40.74079 -74.00562 40.75109 1
-74.00421 40.72083 -73.99454 40.72042 1
-73.96022 40.76623 -73.98342 40.76211 1
-73.99932 40.74422 -73.97831 40.73681 1
-73.95741 40.77018 -73.96523 40.76909 2
-73.97137 40.74459 -73.9817 40.74955 1
-73.9678 40.79274 -73.97764 40.76436 1
-73.97202 40.78651 -73.96623 40.78942 1
-73.98967 40.7724 -73.9519 40.78152 1
-73.95955 40.77088 -73.96998 40.76465 1
-73.99516 40.72491 -73.98514 40.72174 1
-73.99156 40.75576 -73.96693 40.77243 1
-73.96364 40.76576 -73.96743 40.76779 2
-73.95724 40.76984 -73.873 40.77447 1
-73.9823 40.73171 -73.97501 40.74162 1
-73.97301 40.79548 -73.98334 40.77513 1
-73.99216 40.74265 -73.97915 40.75319 1
-73.97829 40.74832 -73.98511 40.74119 1
-73.96123 40.76904 -73.9612 40.77596 1
-73.95059 40.77512 -73.96754 40.75634 1
-73.98413 40.74896 -73.99342 40.74655 1
-73.97322 40.75817 -73.97301 40.7646 3
-73.9715 40.74982 -74.01265 40.70173 1
-73.97111 40.76415 -73.96455 40.77289 1
-74.00753 40.71568 -73.99947 40.73377 1
-73.98578 40.76023 -73.9929 40.74951 1
-73.99849 40.74545 -73.98006 40.73928 1
-73.97294 40.79337 -74.00357 40.7564 1
-74.00201 40.72991 -73.99499 40.73989 2
-73.96707 40.75683 -73.98405 40.73379 1
-74.0144 40.70307 -74.01572 40.71167 1
-73.99866 40.74502 -73.99149 40.7552 1
